https://hitran.org/docs/iso-meta/
global ID 	local ID 	Formula 	AFGL code 	Abundance 	        Molar Mass /g·mol-1 	Q(296 K) 	Q (full range) 	gi
7 	        1 	        12C16O2 	626 	    0.984204 	        43.98983 	            286.09 	    q7.txt 	        1
8 	        2 	        13C16O2 	636 	    0.011057 	        44.993185 	            576.64 	    q8.txt 	        2
9 	        3 	        16O12C18O 	628 	    0.003947 	        45.994076 	            607.81 	    q9.txt 	        1
10 	        4 	        16O12C17O 	627 	    7.339890e-4 	    44.994045 	            3542.61 	q10.txt 	    6
11 	        5 	        16O13C18O 	638 	    4.434460e-5 	    46.997431 	            1225.46 	q11.txt 	    2
12 	        6 	        16O13C17O 	637 	    8.246230e-6 	    45.9974 	            7141.32 	q12.txt 	    12
13 	        7 	        12C18O2 	828 	    3.957340e-6 	    47.998322 	            323.42 	    q13.txt 	    1
14 	        8 	        17O12C18O 	827 	    1.471800e-6 	    46.998291 	            3766.58 	q14.txt 	    6
121 	    9 	        12C17O2 	727 	    1.368470e-7 	    45.998262 	            10971.57 	q121.txt 	    1
15 	        0 	        13C18O2 	838 	    4.446000e-8 	    49.001675 	            652.24 	    q15.txt 	    2
120 	    11         	18O13C17O 	837 	    1.653540e-8 	    48.001646 	            7595.04 	q120.txt 	    12
122 	    12         	13C17O2 	737 	    1.537500e-9 	    47.0016182378 	        22120.47 	q122.txt 	    2 
